"Sortera i bokstavsordning genom att högerklicka på en kolumn och sedan klicka på ""Sortera arbetsblad A -> Z""",,,,,,,,,,,,
Title,Composer,Lyricist,Arranger,Ensemble,Language,Licenceholder,PLAY Producer,Scorx product ID,PÅSKMUSIK,JULMUSIK,Link to product in ScorX e-shop,Link to webshop to purchase printed score
Tyst faller trädets gula blad,Carl Maria von Weber,,,SATB,Swedish,Gehrmans,Körakademin,170,JA,,https://scorx.org/Product/Product?Id=529,http://www.gehrmans.se/butik/kor/tyst-faller-tradets-gula-blad
Vaken upp,Johann Sebastian Bach,,,SATB,Swedish,Cantate,Körakademin,2033,JA,,https://scorx.org/Product/Product?Id=4127,
Vi alla,Hans Leo Hassler,Birgitta Wennerberg-Berggren,Lars Hernqvist,SAB,Swedish,Gehrmans,Körakademin,177,JA,,https://scorx.org/Product/Product?Id=536,http://www.gehrmans.se/butik/kor/sab-helt-enkelt-del-2
Vi gick alla vilse som får,Trad.,Lars Linderot,Lars Hernqvist,SAB,Swedish,Gehrmans,Körakademin,572,JA,,https://scorx.org/Product/Product?Id=920,
Övergiven,Jonas Nyström,Åsa Hagberg,,SATB,Swedish,Gehrmans,Körakademin,1979,JA,,https://scorx.org/Product/Product?Id=3906,
Hör hur hela staden sjunger,"Talley, Sally Ann Morris",Mary Louise Bringle,,SATB,Swedish,Gehrmans,Körakademin,2535,JA,,https://scorx.org/Product/Product?Id=6297,
Påskens triumf,Håkan Alinder,"Karl-Gustaf Hildebrand, H Spegel",,SATB,Swedish,Gehrmans,Körakademin,2541,JA,,https://scorx.org/Product/Product?Id=6303,
A Ceremony of Carols - 1. Procession,Benjamin Britten,,,SSA,English,Gehrmans,Körakademin,2071,,JA,https://scorx.org/Product/Product?Id=4989,
A Ceremony of Carols - 10: Deo Gratias,Benjamin Britten,,,SSA,English,Gehrmans,Körakademin,2458,,JA,https://scorx.org/Product/Product?Id=5538,
A Ceremony of Carols - 2. There is no rose,Benjamin Britten,,,SSA,English,Gehrmans,Körakademin,2071,,JA,https://scorx.org/Product/Product?Id=5031,
A Ceremony of Carols - 2. There is no rose,Benjamin Britten,,,SSA,Engelska,Gehrmans,Körakademin,2080,,JA,,
A Ceremony of Carols - 3. Wolkum Yole,Benjamin Britten,,,SSA,English,Gehrmans,Körakademin,2081,,JA,https://scorx.org/Product/Product?Id=5032,
A Ceremony of Carols - 4B. Balulalow,Benjamin Britten,,,SSA,English,Gehrmans,Körakademin,2254,,JA,https://scorx.org/Product/Product?Id=5529,
A Ceremony of Carols - 5. As dew in Aprille,Benjamin Britten,,,SSA,English,Gehrmans,Körakademin,2455,,JA,https://scorx.org/Product/Product?Id=5536,
A Ceremony of Carols - 6: This little Babe,Benjamin Britten,,,SSA,English,Gehrmans,Körakademin,2456,,JA,https://scorx.org/Product/Product?Id=5539,
A Ceremony of Carols - 8: In Freezing Winter Night,Benjamin Britten,,,SSA,English,Gehrmans,Körakademin,2457,,JA,https://scorx.org/Product/Product?Id=5537,
A Christmas Carol,Gabriel Nyberg,Christina Rossetti,Anders Nyberg,SATB,Engelska,Peace of Music,Körakademin,728,,JA,https://scorx.org/Product/Product?Id=1151,
A Joyful Noise,Joakim Arenius,,,SATB,English,Bubblejam Music Productions,Körakademin,1705,,,https://scorx.org/Product/Product?Id=3411,
A Mighty Fortress Is Our God,Martin Luther,,Joakim Areinus,SATB,English,Bubblejam Music Productions,Bubblejam Music Productions,2259,,,https://scorx.org/Product/Product?Id=5548,
A Night-Piece - del 1,Judith Bingham,,,SATB,Engelska,Gehrmans,Körakademin,2122,,JA,,
A Night-Piece - del 2,Judith Bingham,,,SATB,Engelska,Gehrmans,Körakademin,2124,,JA,,
A place for you,Karin Öberg,Karin Öberg,Karin Öberg,SAB,English,Tribal Music,Körakademin,395,,,https://scorx.org/Product/Product?Id=738,
ABBA cappella medley - Part 1,Björn Ulvaeus,,Roine Jansson,SATB or more,English,Gehrmans,Körakademin,1806,,,https://scorx.org/Product/Product?Id=3781,http://www.gehrmans.se/butik/kor/abba-cappella-sw-1110
ABBA cappella medley - Part 2,Björn Ulvaeus,,Roine Jansson,SATB,English,Gehrmans,Körakademin,1893,,,https://scorx.org/Product/Product?Id=3771,http://www.gehrmans.se/butik/kor/abba-cappella-sw-1110
ABBA cappella medley - Part 3,Björn Ulvaeus,,Roine Jansson,SATB,English,Gehrmans,Körakademin,1910,,,https://scorx.org/Product/Product?Id=3815,http://www.gehrmans.se/butik/kor/abba-cappella-sw-1110
Abschied vom Walde,Felix Mendelssohn Bartholdy,Joseph von Eichendorff,,SATB,German,Upphovsrättsfri,Copyright free,1,,,https://scorx.org/Product/Product?Id=1,
"Ack, ack",Trad. Sverige,,Johan Hogenäs,SAATB,Swedish,Ejeby Förlag,Körakademin,1794,,,https://scorx.org/Product/Product?Id=3562,
Adiemus,Karl Jenkins,,,SATB,Latin,Boosey & Hawkes,Körakademin,2487,,,https://scorx.org/Product/Product?Id=6205,
Advent,Otto Olsson,Paul Nilsson,,SATB,Swedish,Gehrmans,Körakademin,702,,JA,https://scorx.org/Product/Product?Id=1050,
Advent,Anna Cederberg-Orreteg,Anna Cederberg-Orreteg,,SA,Swedish,Gehrmans,Körakademin,889,,JA,https://scorx.org/Product/Product?Id=2338,
Advent,Sture Olsson,Sven Olander,,SATB,Svenska,Gehrmans,Körakademin,2397,,JA,https://scorx.org/Product/Product?Id=6018,
Advent,Otto Olsson,Paul Nilsson,Lars Hernqvist,SSA,Svenska,Gehrmans,Körakademin,2488,,JA,https://scorx.org/Product/Product?Id=6206,
Adventsljus,Jens Eriksson,Jens Eriksson,,SATB,Swedish,Gehrmans,Körakademin,1362,,JA,https://scorx.org/Product/Product?Id=2831,
Aftonbön,Anna-Karin Klockar,Karin Boye,,SATB,Swedish,Gehrmans,Körakademin,2281,,,https://scorx.org/Product/Product?Id=5590,
Aftonkväde,Carl Michael Bellman,,Jonas Nyström,SATB,Swedish,Upphovsrättsfri,Copyright free,2,,,https://scorx.org/Product/Product?Id=2,
Aftonstjärnan,Ivar Hallström,Hoffman von Fallersleben,,SATB,Swedish,Upphovsrättsfri,Copyright free,3,,,https://scorx.org/Product/Product?Id=3,
Aftonsång,Reibjörn Carlshamre,Susanna Venetvaara,,SATB,Svenska,Wessman,Körakademin,2464,,,https://scorx.org/Product/Product?Id=6155,
Agnus Dei,Jens Eriksson,,,SAB,Latin,Gehrmans,Körakademin,1369,,,https://scorx.org/Product/Product?Id=2838,
Agnus Dei,Sven-David Sandström,,,SAB,Latin,Gehrmans,Körakademin,1391,,,https://scorx.org/Product/Product?Id=2851,
All den skönhet jorden bär,Skotsk melodi,Birgitta Wennerberg-Berggren,Lars Hernqvist,SAB,Swedish,Gehrmans,Körakademin,4,,,https://scorx.org/Product/Product?Id=4,http://www.gehrmans.se/butik/kor/sab-helt-enkelt-del-2
Allt under himmelens fäste,Trad.,,Carl-Bertil Agnestig,SAB,Swedish,Gehrmans,Körakademin,1667,,,https://scorx.org/Product/Product?Id=3373,http://www.gehrmans.se/butik/undervisning/vi-sjunger-i-kor-3
Allt är så underligt fjärran idag,Stefan Klaverdal,Pär Lagerkvist,,SATB,Svenska,Stefan Klaverdal,Körakademin,2342,,,https://scorx.org/Product/Product?Id=5915,
Alltid en pärla,Nadja Eriksson,Nils Holmqvist,Björn Claeson,SAB,Swedish,Gehrmans,Körakademin,597,,,https://scorx.org/Product/Product?Id=945,
Alta Trinita Beata,Anders Öhrwall,Günther Niemeyer,,SATB,Latin,Gehrmans,Körakademin,636,,,https://scorx.org/Product/Product?Id=986,
Amatemi ben mio,Luca Marenzio,,,SAB,Italian,Upphovsrättsfri,Copyright free,6,,,https://scorx.org/Product/Product?Id=6,
Amen - låt Herrens vilja råda,Sefardisk melodi,,Lars Hernqvist,SAB,Swedish,Gehrmans,Körakademin,7,,,https://scorx.org/Product/Product?Id=7,http://www.gehrmans.se/butik/kor/sab-helt-enkelt-del-1
Amor vittorioso,Giovanni Gastoldi,,,SSATB,Italian,Upphovsrättsfri,Copyright free,8,,,https://scorx.org/Product/Product?Id=8,
Ande ifrån ovan,Torebjörn Widfeldt,"Britt G Hallqvist, J Franck, P Brask",,SAB,Swedish,Gehrmans,Körakademin,2011,,,https://scorx.org/Product/Product?Id=4033,
Andliga sånger - 1. Kyrie,August Söderman,,,SATB or more,Latin,Körakademin,Körakademin,9,,,https://scorx.org/Product/Product?Id=3027,
Andliga sånger - 2. Agnus Dei,August Söderman,,,SATB or more,Latin,Körakademin,Körakademin,10,,,https://scorx.org/Product/Product?Id=3028,
Andliga sånger - 3. Jesu Christe,August Söderman,,,SATB,Latin,Körakademin,Körakademin,11,,,https://scorx.org/Product/Product?Id=3029,
Andliga sånger - 4. Domine,August Söderman,,,SATB or more,Latin,Körakademin,Körakademin,12,,,https://scorx.org/Product/Product?Id=3030,
Andliga sånger - 5. Benedictus,August Söderman,,,SATB or more,Latin,Körakademin,Körakademin,13,,,https://scorx.org/Product/Product?Id=3031,
Andliga sånger - 6. Virgo Gloriosa,August Söderman,,,SSAA,Latin,Körakademin,Körakademin,14,,,https://scorx.org/Product/Product?Id=3032,
Andliga sånger - 7. Osanna,August Söderman,,,SATB or more,Latin,Körakademin,Körakademin,15,,,https://scorx.org/Product/Product?Id=3033,
Angelina,Auguste Depradine,,Sten Källman,SATB,Other,Ejeby Förlag,Körakademin,1795,,,https://scorx.org/Product/Product?Id=3564,
Angels We Have Heard on High,Anononym,James Chadwick,Kristian Kraftling,SATB,English,Gehrmans,Körakademin,1358,,JA,https://scorx.org/Product/Product?Id=2827,
Anthem,Björn Ulvaeus,Tim Rice,Anders Eljas,SATB,English,Gehrmans,Körakademin,1804,,,https://scorx.org/Product/Product?Id=3777,http://www.gehrmans.se/butik/kor/anthem-ur-musikalen-chess-mm-013
April Is in My Mistress' Face,Thomas Morley,,,SATB,English,Gehrmans,Körakademin,1287,,,https://scorx.org/Product/Product?Id=2756,
Ave Maria,Camille Saint-Saens,Katolsk bön,,SA,Latin,Gehrmans,Körakademin,575,,JA,https://scorx.org/Product/Product?Id=923,
Ave Maria,Giulio Caccini,,Lars Hernqvist,SAB,Latin,Gehrmans,Körakademin,1220,,JA,https://scorx.org/Product/Product?Id=2689,
Ave Maria,Gottfrid Berg,,Gottfrid Berg,SATB,Latin,Gehrmans,Körakademin,2335,,JA,https://scorx.org/Product/Product?Id=5908,
Ave Maria,Gabriel Fauré,Anders Öhrwall,,SATB,Latin,Gehrmans,Körakademin,2398,,JA,https://scorx.org/Product/Product?Id=6016,
Ave Maria (Franck),César Franck,,,SATB,Latin,Upphovsrättsfri,Copyright free,17,,JA,https://scorx.org/Product/Product?Id=10,
Ave verum corpus,Wolfgang Amadeus Mozart,Eukaristisk hymn,John Norrman,SSA,Latin,Gehrmans,Körakademin,810,,JA,https://scorx.org/Product/Product?Id=2259,
Baba wethu,Anders Nyberg,Bibeln,,SATB,Swedish,Peace of Music,Körakademin,1507,,,https://scorx.org/Product/Product?Id=2988,http://peaceofmusic.com/Cms.aspx/Show/7
Bachkoraler: Jag sökte dig bland orden,Melchior Teschner,Tobias Boström,Johann Sebastian Bach,SATB,Swedish,Wessmans,Körakademin,790,,,https://scorx.org/Product/Product?Id=3271,
Bachkoraler: Vi tackar med vår sång,Johann Crüger,Tobias Boström,Johann Sebastian Bach,SATB,Swedish,Wessmans,Körakademin,791,,,https://scorx.org/Product/Product?Id=3272,
Barn och stjärnor,Fredrik Sixten,Ylva Eggehorn,,SATB,Swedish,Gehrmans,Körakademin,663,,JA,https://scorx.org/Product/Product?Id=1011,
Bedårande sommarvals,Toots Thielemans,Norman Gimbel,Robert Sund,SATB,Svenska,Gehrmans,Körakademin,2399,,,https://scorx.org/Product/Product?Id=6019,
Bereden väg för Herran,Anders Bond,Frans Michael Franzén,,SATB,Swedish,Gehrmans,Körakademin,625,,JA,https://scorx.org/Product/Product?Id=975,
Bereden väg för Herran,Trad,Frans Michael Franzén,Simon Johnson,SATB,Svenska,ECHO,Körakademin,2100,,JA,https://scorx.org/Product/Product?Id=5116,
Bereden väg för Herran,Trad,,Anna Cederberg-Orreteg,SSATB,Svenska,Ejeby Förlag,Körakademin,2400,,JA,https://scorx.org/Product/Product?Id=6020,
Bereden väg för Herran,Finn Jon Jonsson,Frans Michael Franzén,Anders Nyberg,SATB,Svenska,Gehrmans,Körakademin,2475,,JA,https://scorx.org/Product/Product?Id=6176,
Betlehems stjärna,Ivar Widéen,Viktor Rydberg,,SATB,Swedish,Gehrmans,Körakademin,558,,JA,https://scorx.org/Product/Product?Id=906,
Bist du bei mir,G. H. Stölzel,G. H. Stölzel,Mårten Jansson,SSA,German,Notfabriken/NotPoolen,Körakademin,1116,,,https://scorx.org/Product/Product?Id=2570,
Bort allt vad oro gör,Carl Michael Bellman,,Daniel Helldén,SATB,Swedish,Gehrmans,Körakademin,554,,,https://scorx.org/Product/Product?Id=902,
Bourrée,Johann Sebastian Bach,,Anders Öhrwall,SATB,,Gehrmans,Körakademin,1223,,,https://scorx.org/Product/Product?Id=2692,
Bred dina vida vingar,Trad.,Lina Sandell-Berg,Anders Öhrwall,SSA,Swedish,Gehrmans,Körakademin,1182,,,https://scorx.org/Product/Product?Id=2651,
Brudmarsch från Jämtland,Anders Öhrwall,Anders Öhrwall,,SATB,,Gehrmans,Körakademin,1569,,,https://scorx.org/Product/Product?Id=3186,
Bön om vintern,Anna-Karin Klockar,Harriet Löwenhjelm,,SATB,Svenska,Gehrmans,Körakademin,2101,,JA,https://scorx.org/Product/Product?Id=5124,
Can't Get You Out Of My Mind,Joakim Arenius,,,SATB,English,Bubblejam Music Productions,Bubblejam Music Productions,2262,,,https://scorx.org/Product/Product?Id=5553,
Cantate Domino,Giuseppe Ottavio Pitoni,Bibeln,,SATB,Latin,Gehrmans,Körakademin,586,,,https://scorx.org/Product/Product?Id=934,
Cantate Domino,Kerstin Evén,Bibeln,,SATB,Yiddish,Gehrmans,Körakademin,1368,,,https://scorx.org/Product/Product?Id=2837,
Cantate Domino canticum novum,Arvo Pärt,,Arvo Pärt,SATB,Latin,Not Specified,Körakademin,2489,,,https://scorx.org/Product/Product?Id=6207,
"Caroling, caroling",Alfred Burt,Wihla Huton,,SATB,English,Gehrmans,Körakademin,1464,,JA,https://scorx.org/Product/Product?Id=3360,
Circle of Life,Elton John,Tim Rice,Kieth Christopher,SATB,Engelska,Hal Leonard,ScorX AB,2069,,,https://scorx.org/Product/Product?Id=4983,
Come again,John Dowland,,Carl-Bertil Agnestig,SAB,English,Gehrmans,Körakademin,1668,,,https://scorx.org/Product/Product?Id=3374,http://www.gehrmans.se/butik/undervisning/vi-sjunger-i-kor-3
Come give me love,Ted Gärdestad,Kenneth Gärdestad,Nills Wallnäs,SAB + Solo,Swedish,Ynde,Körakademin,2155,,,https://scorx.org/Product/Product?Id=5414,
Come On and Raise Your Hands,Lina Sidenmark,,Staffan Sundås,SATB,English,Gehrmans,Körakademin,212,,,https://scorx.org/Product/Product?Id=60,http://www.gehrmans.se/butik/kor/yes-i-m-coming-home
Dagen är kommen,Martin Wegelius,Eva Norberg,David Willcocks,SATB,Swedish,Gehrmans,Körakademin,698,,JA,https://scorx.org/Product/Product?Id=1046,
Dagen är nära,Georg Friedrich Händel,Jan Arvid Hellström,Anders Öhrwall,SATB,Swedish,Gehrmans,Körakademin,613,,,https://scorx.org/Product/Product?Id=961,
Dalmålaren,Anna-Karin Klockar,Erik Axel Karlfeldt,,SATB,Swedish,Gehrmans,Körakademin,2282,,,https://scorx.org/Product/Product?Id=5591,
Dalvisa,Robert Sund,Trad,,SSA,Svenska,Gehrmans,Körakademin,1558,,,https://scorx.org/Product/Product?Id=3175,
Dancing Queen,Björn Ulvaeus,Björn Ulvaeus,Christian Josefsson,SAB,English,Gehrmans,Körakademin,1810,,,https://scorx.org/Product/Product?Id=3788,http://www.gehrmans.se/butik/kor/dancing-queen
Dansa för livet,sefardisk sång,Birgitta Wennerberg-Berggren,Lars Hernqvist,SAB,Swedish,Gehrmans,Körakademin,21,,,https://scorx.org/Product/Product?Id=14,http://www.gehrmans.se/butik/kor/sab-helt-enkelt-del-2
Davids 121 Psalm,Otto Olsson,Bibeln,Otto Olsson,SATB,Swedish,Eriks förlag,Körakademin,776,,,,
De muntra musikanter,August Ferdinand Riccius,,,TTBB,Swedish,Gehrmans,Körakademin,158,,,https://scorx.org/Product/Product?Id=517,
Deck the halls,Trad.,,,SATB,English,Gehrmans,Körakademin,556,,JA,https://scorx.org/Product/Product?Id=904,
Den blida vår är inne,Trad.,Johan Olof Wallin,Gunnar Eriksson,SATB,Swedish,Ejeby Förlag,Körakademin,1453,,,https://scorx.org/Product/Product?Id=2994,
Den blomstertid nu kommer,Trad.,Johan Olof Wallin,Anna Cederberg-Orreteg,SSA,Swedish,Ejeby Förlag,Körakademin,1649,,,https://scorx.org/Product/Product?Id=3364,
Den dag du gav oss,C C Scholefield,Johan Alfred Eklund,Anders Öhrwall,SSA,Swedish,Gehrmans,Körakademin,1370,,,https://scorx.org/Product/Product?Id=2839,
Den innersta viljan - 1. Välkommen!,Elisabeth Engdahl,Karin Klingenstierna,Thomas Darelid,SATB,Swedish,Gehrmans,Körakademin,1340,,,https://scorx.org/Product/Product?Id=2809,
Den innersta viljan - 10. Livets rikedom,Elisabeth Engdahl,Karin Klingenstierna,Thomas Darelid,SATB,Swedish,Gehrmans,Körakademin,1349,,,https://scorx.org/Product/Product?Id=2818,
Den innersta viljan - 2. Är du där?,Elisabeth Engdahl,Karin Klingenstierna,Thomas Darelid,SATB,Swedish,Gehrmans,Körakademin,1341,,,https://scorx.org/Product/Product?Id=2810,
Den innersta viljan - 3. Du är god,Elisabeth Engdahl,Karin Klingenstierna,Thomas Darelid,SATB,Swedish,Gehrmans,Körakademin,1342,,,https://scorx.org/Product/Product?Id=2811,
Den innersta viljan - 4. Tills ljuset har kommit igen,Elisabeth Engdahl,Karin Klingenstierna,Thomas Darelid,SATB,Swedish,Gehrmans,Körakademin,1343,,,https://scorx.org/Product/Product?Id=2812,
Den innersta viljan - 5. Beskyddad,Elisabeth Engdahl,Karin Klingenstierna,Thomas Darelid,SATB,Swedish,Gehrmans,Körakademin,1344,,,https://scorx.org/Product/Product?Id=2813,
Den innersta viljan - 6. Ta emot!,Elisabeth Engdahl,Karin Klingenstierna,Thomas Darelid,SATB,Swedish,Gehrmans,Körakademin,1345,,,https://scorx.org/Product/Product?Id=2814,
Den innersta viljan - 7. Paradiset börjar här,Elisabeth Engdahl,Karin Klingenstierna,Thomas Darelid,SATB,Swedish,Gehrmans,Körakademin,1346,,,https://scorx.org/Product/Product?Id=2815,
Den innersta viljan - 8. Att vara sann,Elisabeth Engdahl,Karin Klingenstierna,Thomas Darelid,SATB,Swedish,Gehrmans,Körakademin,1347,,,https://scorx.org/Product/Product?Id=2816,
Den innersta viljan - 9. Den innersta viljan är kärleken,Elisabeth Engdahl,Karin Klingenstierna,Thomas Darelid,SATB,Swedish,Gehrmans,Körakademin,1348,,,https://scorx.org/Product/Product?Id=2817,
Den signade dag,Trad.,,Karl-Fredrik Jehrlander,SAB,Swedish,Gehrmans,Körakademin,584,,JA,https://scorx.org/Product/Product?Id=932,
Den signade dag,Nils Lindberg,Johan Olof Wallin,,SATB,Swedish,Gehrmans,Körakademin,1047,,,https://scorx.org/Product/Product?Id=2496,
Den signade dag,"Trad. (efter bröderna Björkman, Öjebyn, Norrbotten)","Trad. (efter bröderna Björkman, Öjebyn, Norrbotten)","Frida Johansson, Lisa Lestander",SSAA,Svenska,Ejeby Förlag,Körakademin,2513,,,https://scorx.org/Product/Product?Id=6250,
Den sköna sommartid,Dansk folkvisa,,Carl Paulsson,SATB,Swedish,Gehrmans,Körakademin,23,,,https://scorx.org/Product/Product?Id=16,http://www.gehrmans.se/butik/kor/den-skona-sommartid
Den som andas,Nadja Eriksson,Nils Holmqvist,Björn Claeson,SAB,Swedish,Gehrmans,Körakademin,595,,,https://scorx.org/Product/Product?Id=943,
Den som ingen sångröst har,Laci Boldemann,"Britt G Hallqvist, James Krüss",Anders Öhrwall,SATB,Swedish,Gehrmans,Körakademin,1095,,,https://scorx.org/Product/Product?Id=2544,
Deo dicamus gratias,Gottfried August Homilius,,David Åhlén,SATB,Latin,Gehrmans,Körakademin,2048,,,https://scorx.org/Product/Product?Id=4944,
Det dukas i himlarnas rike ett bord,Melodi från Gagnef,M B Landstad,Nils Lindberg,SATB,Swedish,Gehrmans,Körakademin,24,,,https://scorx.org/Product/Product?Id=17,http://www.gehrmans.se/butik/kor/det-dukas-i-himlarnas-rike-ett-bord
Det ljus som vi har tänt,Jens Eriksson,Jens Eriksson,,SAB,Swedish,Gehrmans,Körakademin,1679,,JA,https://scorx.org/Product/Product?Id=3385,http://www.gehrmans.se/butik/kor/det-ljus-som-vi-har-tant-12779
Det är en ros utsprungen,Tysk folkmelodi,,Michael Praetorius,SATB,Swedish,Körakademin,Körakademin,760,,JA,https://scorx.org/Product/Product?Id=1208,
Detta är dagen då jag väljer frid,Anders Nyberg,Anders Nyberg,,SATB,Swedish,Peace of Music,Körakademin,715,,,https://scorx.org/Product/Product?Id=1138,http://www.peaceofmusic.com/Cms.aspx/Show/136
Die Primel,Felix Mendelssohn-Bartholdy,Nikolaus Lenau,,SATB,German,Upphovsrättsfri,Copyright free,25,,,https://scorx.org/Product/Product?Id=18,
Din godhet och nåd,Georg Riedel,Bibeln,,SATB,Swedish,Gehrmans,Körakademin,1010,,,https://scorx.org/Product/Product?Id=2459,
Din nåd du ger till mig,Anders Nyberg,Anders Nyberg,,SATB,Swedish,Peace of Music,Körakademin,710,,,https://scorx.org/Product/Product?Id=1133,http://www.peaceofmusic.com/Cms.aspx/Show/136
Din nåd är dyrbar,Kjell Janunger,Bibeln,,SATB,Swedish,ACKJA Music & Production,Körakademin,1466,,,https://scorx.org/Product/Product?Id=2920,
Din är himlen,Kjell Janunger,Bibeln,,SATB,Swedish,ACKJA Music & Production,Körakademin,1467,,,https://scorx.org/Product/Product?Id=2921,
"Dina tankar, o Gud",Sven-David Sandström,Bibeln,,SAB,Swedish,Gehrmans,Körakademin,833,,,https://scorx.org/Product/Product?Id=2282,
Ding dong,Trad.,,Karl-Fredrik Jehrlander,SAB,English,Gehrmans,Körakademin,585,,JA,https://scorx.org/Product/Product?Id=933,
Ding dong! merrily on high,Trad.,George Ratcliffe Woodward,Charles Wood,SATB,English,Körakademin,Körakademin,759,,JA,https://scorx.org/Product/Product?Id=1207,
Dona nobis pacem,Trad.,,,Unison,Latin,Gehrmans,Körakademin,1703,,,https://scorx.org/Product/Product?Id=3409,http://www.gehrmans.se/butik/undervisning/kor-for-alla
"Dormi, dormi",Karl-Fredrik Jehrlander,Birgitta Eljas,,SATB,Italian,Gehrmans,Körakademin,838,,JA,https://scorx.org/Product/Product?Id=2287,
"Dotter Sion, fröjda dig",Georg Friedrich Händel,,,SATB,Swedish,Gehrmans,Körakademin,628,,JA,https://scorx.org/Product/Product?Id=978,
Down by the Salley Gardens,Trad,William Butler Yeats,Thomas Jönsson,SAT,Engelska,Ejeby Förlag,Körakademin,2072,,,https://scorx.org/Product/Product?Id=4990,
Down to faith,Joakim Arenius,Joakim Arenius,,SATB,English,Bubblejam Music Productions,Bubblejam Music Productions,2263,,,https://scorx.org/Product/Product?Id=5556,
Doxologi,Felix Mendelssohn-Bartholdy,Kleine Doxologi,,SATB,Swedish,Gehrmans,Körakademin,26,,,https://scorx.org/Product/Product?Id=19,http://www.gehrmans.se/butik/kor/doxologi-lovsagelse
Drink to Me Only,Trad.,Ben Johnson,Anders Öhrwall,SATB,English,Gehrmans,Körakademin,618,,,https://scorx.org/Product/Product?Id=966,
Drunken Sailor,Trad.,,Robert Sund,SATB,English,Gehrmans,Körakademin,2042,,,https://scorx.org/Product/Product?Id=4164,
"Du gamla, du fria",Richard Dybeck,Richard Dybeck,Edvin Kallstenius,SATB,Swedish,Gehrmans,Körakademin,683,,,https://scorx.org/Product/Product?Id=1031,
Du ljus du stjärna -1- Julen,Hans Kennemark,Alf Hambe,,SAB,Swedish,Gehrmans,Körakademin,1381,,JA,https://scorx.org/Product/Product?Id=3138,
Du ljus du stjärna -2- Det är en ros utsprungen,Hans Kennemark,Trad.,Hans Kennemark,SAB,Swedish,Gehrmans,Körakademin,1382,,JA,https://scorx.org/Product/Product?Id=3139,
Du ljus du stjärna -3- Marias begrundan,Hans Kennemark,Alf Hambe,,SAB,Swedish,Gehrmans,Körakademin,1383,,JA,https://scorx.org/Product/Product?Id=3140,
"Du ljus du stjärna -4- Du ljus, du stjärna",Hans Kennemark,Alf Hambe,,SAB,Swedish,Gehrmans,Körakademin,1384,,JA,https://scorx.org/Product/Product?Id=3141,
Du ljus du stjärna -5- Herdarna,Trad.,Alf Hambe,Hans Kennemark,SAB,Swedish,Gehrmans,Körakademin,1385,,JA,https://scorx.org/Product/Product?Id=3142,
Du ljus du stjärna -6- Änglasången,Hans Kennemark,Alf Hambe,,SAB,Swedish,Gehrmans,Körakademin,1386,,JA,https://scorx.org/Product/Product?Id=3143,
Du ljus du stjärna -7- Staffans visa,Hans Kennemark,Alf Hambe,,SAB,Swedish,Gehrmans,Körakademin,1387,,JA,https://scorx.org/Product/Product?Id=3144,
Du ljus du stjärna -8- Världens frälsare kom här,Hans Kennemark,Johan Olof Wallin,Hans Kennemark,SAB,Swedish,Gehrmans,Körakademin,1389,,JA,https://scorx.org/Product/Product?Id=3146,
Du ljus du stjärna -9- Josefs dröm,Hans Kennemark,Alf Hambe,,SAB,Swedish,Gehrmans,Körakademin,1388,,JA,https://scorx.org/Product/Product?Id=3145,
Du ljuvaste barn,Johann Sebastian Bach,,Lars Hallgren,SATB,Swedish,Gehrmans,Körakademin,27,,JA,https://scorx.org/Product/Product?Id=20,http://www.gehrmans.se/butik/kor/du-ljuvaste-barn
Du ljuvaste barn,Johann Sebastian Bach,,Lars Hernqvist,SAB,Swedish,Gehrmans,Körakademin,28,,JA,https://scorx.org/Product/Product?Id=21,http://www.gehrmans.se/butik/kor/sab-helt-enkelt-del-1
Du skapar än,Maurice Green,Gunborg Brännström,,SATB,Swedish,Gehrmans,Körakademin,699,,,https://scorx.org/Product/Product?Id=1047,
Du är skaparen,Georg Riedel,Christina Lövestam,,SAA,Swedish,Gehrmans,Körakademin,848,,,https://scorx.org/Product/Product?Id=2297,
Du!,Anna Cederberg-Orreteg,Anna Högberg,,SSA,Swedish,Gehrmans,Körakademin,847,,,https://scorx.org/Product/Product?Id=2296,
Där himmelens stjärna glänser,Jonas Nyström,Åsa Hagberg,,SA(B),Swedish,Gehrmans,Körakademin,1975,,JA,https://scorx.org/Product/Product?Id=3902,
Eatnemen Vuelie,Trad. Frode Fjellheim,"Frode Fjellheim, Joseph August Seiss",Emily Crocker,SATB,"Yoik, English",Boosey and Hawkes Inc,ScorX AB,2070,,JA,https://scorx.org/Product/Product?Id=4984,
Efter regnet,Benny Andersson,Mats Nörklit,Itte Lundgren,SATB,Swedish,Gehrmans,Körakademin,1807,,,https://scorx.org/Product/Product?Id=3783,http://www.gehrmans.se/butik/kor/efter-regnet
"Ein deutsches Requiem 1. Selig sind, die da Leid tragen",Johannes Brahms,Bibeln,,SATB,German,Körakademin,Körakademin,2361,,,https://scorx.org/Product/Product?Id=5956#,
Ein deutsches Requiem 2-2. Aber des Herrn wort,Johannes Brahms,Bibeln,,SATB,German,Körakademin,Körakademin,2368,,,https://scorx.org/Product/Product?Id=5961,
Ein deutsches Requiem 2. Denn alles fleisch es ist wie Gras,Johannes Brahms,Bibeln,,SATB,German,Körakademin,Körakademin,2367,,,https://scorx.org/Product/Product?Id=5960,
